morph,llength,llength_sd,llength_n,lwidth,lwidth_sd,lwidth_n,larea,larea_sd,larea_n,elevation,lat
acutiflorum,0.19083411441879855,0.3645431840981776,73,-1.050729115270931,0.41130063544553347,73,-1.1014594761226224,0.7109314127996915,73,0.48999999999999955,62.26000000000012
aff._viscosum_sp._nov.,-1.3710015173014445,0.2693258530189762,38,-1.8952707141050726,0.2567771529656289,38,-3.507836706677007,0.48626620705245605,38,3.078500000000002,44.09580000000003
albiflorum,0.9743911562342891,0.25014465619605963,206,-0.5290165020100608,0.36082564132181694,206,0.20381017895373768,0.5601030062764046,206,2.346999999999992,41.48548060000012
apachianum,0.28936405403872495,0.3045483745181711,62,-0.7873544756012273,0.3398593650086798,62,-0.7395548968329929,0.6123777312954292,62,2.688359999999999,33.92698775000004
boreale,-0.5311597173124749,0.29928072862073435,39,-1.1667492961746366,0.2710816885551784,39,-1.9394734887576022,0.5343356074336525,39,0.2895000000000002,68.36
brandegeei,-0.6748795753915444,0.3535455541677114,58,-1.755177286434063,0.3393410050691102,58,-2.6716213370960973,0.6591479011314992,58,2.743500000000001,40.032412699999945
californicum,0.46718797927628475,0.29969935798962277,81,-0.5532714875254227,0.27193982452613297,81,-0.3276479835196284,0.5331980033261448,81,1.889999999999998,45.0656090000001
carneum,0.7565301812056081,0.23679128259006488,47,-0.26454994344172306,0.260062145877861,47,0.25041576249339453,0.44765594292924066,47,1.0080000000000005,43.221099999999986
chartaceum,-1.6123270600379596,0.15637843053247052,16,-2.644760087152266,0.14698926124938633,16,-4.4986516224607165,0.26994325541853725,16,4.116,37.634395
confertum,-0.430445682755928,0.29002689841458634,10,-1.4840896334993565,0.3559175102626936,10,-2.156099791525775,0.6199198252936943,10,3.7045000000000003,38.948358999999996
delicatum,0.03162769412259715,0.3845361032094656,50,-0.9245139495091783,0.3049181748646257,50,-1.134450730657072,0.6641526510259704,50,3.306999999999998,38.839999999999975
eddyense,-1.2193692651490606,0.06529265634284274,3,-1.6568058273524944,0.16349050958364178,3,-3.117739567772046,0.10849668757333707,3,2.744,41.3189
elegans,-1.0601641634638743,0.25892249102679843,21,-1.6040740371147468,0.23407633186773763,21,-2.905802675849112,0.4622237967522965,21,2.2869999999999995,46.903956
elusum,0.21314011231544697,0.26028294384340434,14,-1.465295444220025,0.15906194117541614,14,-1.4937198071750684,0.37812113214214066,14,1.692,44.714641000000015
eximium,-1.4684916145864304,0.3619333237516974,16,-2.4671742057366863,0.31727946240697846,16,-4.177230295593608,0.6570109813929322,16,3.755000000000001,37.10653000000001
filicinum,0.7178020528306215,0.23526731912688684,83,-0.8374343246939796,0.3113831203813854,83,-0.3611967471338485,0.506160514986844,83,2.5900000000000025,32.954896249999976
flavum,0.670681058790487,0.31416226878082654,71,-0.605918278719393,0.3447960580081536,71,-0.17680169519939645,0.6241606376891552,71,2.4835000000000003,33.402054610000036
foliosissimum,0.6220954963851324,0.31562142832591794,274,-0.7285775989986084,0.4157579080853482,274,-0.3480465778839671,0.6751909762682,274,2.6825000000000037,38.786021799999986
micranthum,-0.8648491369869087,0.3455329858059009,75,-1.8484123678018363,0.35580236400260407,75,-2.954825980059236,0.6717370157892802,75,1.128,43.74470000000006
nevadense,-0.0817910431547022,0.205963100786777,12,-1.1151360581551246,0.13913722027062564,12,-1.4384915765803175,0.2989342374812477,12,2.773,41.66873700000001
occidentale_lacustre,1.0198393354482846,0.233899668984585,21,-0.9733716121840059,0.25947883577427827,21,-0.19509675200621185,0.4037120491371475,21,0.4030000000000002,47.67591800000002
occidentale_occidentale,0.5424573500165026,0.39548969189770966,173,-0.7018110397897082,0.38782903709956457,173,-0.400918165043696,0.7364541210796617,173,2.1399999999999912,42.59158335000009
pauciflorum,0.22203877753974793,0.3132189843220567,47,-1.0629454613372131,0.2663428850461111,47,-1.082471159067956,0.5587156480455834,47,2.637500000000002,30.808835999999992
pectinatum,0.8341567388906392,0.20499163273819843,9,-2.353379061637373,0.15635775940000674,9,-1.7607867980172238,0.3331323086700591,9,0.5499999999999999,47.12833
pulcherrimum_lindleyi,-0.5649666405095514,0.362000735734487,23,-1.2895611154424913,0.2523892457255536,23,-2.096092231222533,0.5729533507451899,23,0.27650000000000013,61.5
pulcherrimum_pulcherrimum,-0.6125716887498069,0.365174750234695,72,-1.2617679307097995,0.24151433944967138,72,-2.115904094730096,0.5636673513722106,72,2.0729999999999986,46.627994999999956
pulcherrimum_shastense,-1.0448816788541264,0.23081672995278293,8,-1.4771544013170272,0.17766272052734314,8,-2.763600555441644,0.39887322647830614,8,3.17,41.384194439999995
reptans,0.7466428803734995,0.28563125602195305,49,-0.16322744404143824,0.2862058874967269,49,0.34185096106157076,0.5306942034631418,49,0.24200000000000021,39.9954335
vanbruntiae,0.9604569681522994,0.24987492703611833,54,0.04280665689260084,0.2650737813402561,54,0.7616991497744096,0.4972588475414522,54,0.42599999999999955,43.988370000000025
viscosum,-1.1608513091682682,0.34247857717520286,52,-1.984844697937949,0.24384995214792976,52,-3.387260482376706,0.5381300199674539,52,3.5049999999999977,38.98613799999999
